;activityNameEN_tags
52;procedure<>BO, change<>A, after<>X, completeness<>BO, 
53;create<>A, monitoring<>BO, case<>BO, 
54;register<>A, date<>BO, environmental<>BO, permit<>BO, decision<>BO, 
55;register<>A, number<>BO, of<>X, days<>BO, extension<>BO, period<>BO, 
56;create<>A, cover<>BO, letter<>BO, extend<>A, procedure<>BO, term<>BO, 
57;extend<>A, procedure<>BO, term<>BO, 
58;enter<>A, senddate<>BO, procedure<>BO, term<>BO, extension<>BO, 
59;create<>A, decision<>BO, procedure<>BO, term<>BO, extension<>BO, 
60;phase<>BO, procedure<>BO, extended<>A, 
61;creating<>A, decision<>BO, procedure<>BO, term<>BO, extension<>BO, 
62;start<>A, decision<>BO, phase<>BO, extension<>BO, granted<>A, 
63;enter<>A, date<>BO, decision<>BO, procedure<>BO, term<>BO, extension<>BO, 
64;enter<>A, senddate<>BO, decision<>BO, procedure<>BO, term<>BO, extension<>BO, 
65;publish<>A, 
66;create<>A, subcases<>BO, content<>BO, 
67;keep<>A, permanently<>X, suspended<>BO, 
68;create<>A, cover<>BO, letter<>BO, permanent<>BO, suspension<>BO, 
69;enter<>A, senddate<>BO, decision<>BO, permanent<>BO, suspension<>BO, 
70;start<>A, decision<>BO, phase<>BO, permanently<>BO, suspended<>BO, decided<>A, 
71;creating<>A, decision<>BO, permanently<>BO, suspended<>BO, 
72;phase<>BO, permanently<>A, suspended<>A, 
73;start<>A, decision<>BO, phase<>BO, permanent<>BO, suspension<>BO, sent<>A, 
74;decision<>BO, keep<>BO, permanently<>X, suspended<>A, 
75;enter<>A, date<>BO, decision<>BO, permanent<>X, suspension<>BO, 
76;register<>A, deadline<>BO, 
77;set<>A, phase:<>BO, phase<>BO, permitting<>BO, irrevocable<>A, 
78;objection<>A, lodged<>A, against<>X, decision<>BO, 
79;phase<>BO, case<>BO, handled<>A, 
80;phase<>BO, decision<>BO, irrevocable<>BOSTATE, 
81;read<>A, publication<>BO, date<>BO, field<>BO, 
82;stop<>A, all<>BO, running<>BO, subcases<>BO, 2b<>BO, 
83;close<>A, case<>BO, 
84;phase<>BO, archived<>A, case<>BO, 
85;date<>BO, for<>X, inspection<>BO, mer<>BO, 
86;mer<>BO, required<>A, 
87;mer<>BO, present<>X, 
88;activities<>BO, regular<>BO, procedure<>A, 
89;phased<>BO, application<>A, 
90;read<>A, field<>BO, phased<>BO, application<>BO, 
91;create<>A, subcases<>BO, present<>BO, decision<>BO, 
92;enrich<>A, decision<>BO, 
93;phase<>A, concept<>BO, decision<>BO, ready<>BO, 
94;enter<>A, date<>BO, publication<>BO, decision<>BO, environmental<>BO, permit<>BO, 
95;suspend<>A, term<>BO, 
96;enter<>A, date<>BO, termination<>BO, request<>BO, received<>A, 
97;submit<>A, draft<>BO, decision<>BO, 
98;phase<>BO, concept<>BO, draft<>BO, decision<>BO, ready<>BOSTATE, 
99;create<>A, draft<>BO, environtmental<>BO, permit<>BO, 
100;generate<>A, draft<>BO, decision<>BO, environmental<>BO, permit<>BO, 
101;initiative<>BO, competent<>BO, authority<>BO, 
102;create<>A, message<>BO, terminate<>BO, request<>BO, 
103;terminate<>A, on<>X, request<>BO, 
104;phase<>BO, procedure<>BO, prematurely<>X, terminated<>A, 
105;enrich<>A, draft<>BO, decision<>BO, 
106;open<>A, draft<>BO, decision<>BO, for<>X, inspection<>BO, 
107;create<>A, cover<>BO, letter<>BO, draft<>BO, decision<>BO, 
108;phase<>BO, draft<>BO, decision<>BO, ready<>BOSTATE, 
109;phase<>BO, draft<>BO, decision<>BO, sent<>A, 
110;phase<>BO, draft<>BO, decision<>BO, made<>A, 
111;enter<>A, senddate<>BO, draft<>BO, decision<>BO, 
112;send<>A, design<>BO, decision<>BO, to<>X, stakeholders<>REC, 
113;enter<>A, date<>BO, advice<>BO, on<>X, treatment<>BO, of<>X, environmental<>BO, permit<>BO, 
114;entering<>A, senddate<>BO, draft<>BO, decision<>BO, environmental<>BO, permit<>BO, 
115;set<>A, decision<>BO, phase:<>BO, draft<>BO, decision<>BO, permitted<>BO, sent<>A, 
116;enter<>A, date<>BO, draft<>BO, decisionenvironmental<>BO, permit<>BO, 
117;start<>A, decisionphase<>BO, draft<>BO, decision<>BO, -<>X, permitting<>BO, decided<>A, 
118;date<>BO, draft<>BO, decision<>BO, for<>X, inspection<>BO, 
119;set<>A, decision<>BO, phase:<>BO, draft<>BO, decision<>BO, for<>X, inspection<>BO, 
120;perspective<>BO, on<>X, draft<>BO, decision<>BO, environmental<>BO, permit<>BO, received<>A, 
121;enter<>A, publication<>BO, date<>BO, draft<>BO, decision<>BO, 
122;date<>BO, decision<>BO, for<>X, inspection<>BO, 
123;set<>A, decision<>BO, phase<>BO, inspection<>BO, of<>X, decision<>BO, permitting<>BO, 
124;set<>A, decision<>BO, phase<>BO, decision<>BO, permitting<>BO, published<>A, 
125;copy<>A, decision<>BO, to<>X, extend<>A, procedure<>BO, to<>X, stakeholders<>REC, 
126;treat<>A, subcases<>BO, completeness<>BO, 
127;subcases<>BO, completeness<>BO, completed<>A, 
128;stop<>A, suspended<>BO, completeness<>BO, subcases<>BO, 
129;copy<>A, decision<>BO, permanent<>BO, suspension<>BO, to<>X, stakeholders<>REC, 
130;updated<>A, plan<>BO, after<>X, review<>BO, 
131;contacting<>A, applicant<>BO, 
132;partly<>X, permit<>A, 
133;first<>BO, or<>X, second<>BO, phase<>BO, 
134;first<>BO, phase<>BO, affected<>A, 
135;start<>A, phased<>BO, application<>BO, 
136;term<>A, 14<>X, or<>X, 26<>X, weeks<>BO, 
137;resume<>A, completeness<>BO, subcases<>BO, 
138;applicant<>BO, is<>X, stakeholder<>X, 
139;inform<>A, bag<>BO, administrator<>BO, 
140;message<>BO, terminate<>A, request<>BO, 
141;enter<>A, senddate<>BO, request<>BO, termination<>BO, 
142;no<>X, permit<>BO, needed<>A, or<>X, only<>X, notification<>BO, needed<>A, 
143;create<>A, letter<>BO, only<>X, notification<>BO, required<>A, 
144;phase<>BO, procedure<>BO, aborted<>A, 
145;phase<>BO, only<>X, notification<>BO, required<>A, 
146;term<>BO, for<>X, submitting<>A, updated<>BO, plan<>BO, 
147;create<>A, letter<>BO, requesting<>A, updated<>BO, plan<>BO, 
148;request<>A, updated<>BO, plan<>BO, 
149;enter<>A, senddate<>BO, updated<>BO, plan<>BO, 
150;phase<>BO, updated<>BO, plan<>BO, requested<>A, 
151;register<>A, receipt<>BO, updated<>BO, plan<>BO, 
152;updated<>BO, plan<>BO, received<>BO, 
153;phase<>BO, updated<>BO, plan<>BO, received<>A, 
154;reception<>A, through<>X, olo<>BO, 
155;temporary<>BO, permit<>X, 
156;enter<>A, senddate<>BO, procedure<>BO, confirmation<>BO, 
157;registrer<>A, date<>BO, of<>BO, publishing<>BO, received<>BO, request<>BO, 
158;send<>A, procedure<>BO, confirmation<>BO, 
159;waw<>BO, permit<>BO, aspect<>BO, 
160;regular<>BO, procedure<>BO, applies<>A, 
161;generate<>A, publication<>BO, document<>BO, decision<>BO, environmental<>BO, permit<>BO, 
162;decision<>BO, procedure<>BO, term<>BO, extension<>A, 
163;enter<>A, objectionterm<>BO, 
164;register<>A, date<>BO, decision<>BO, terminate<>BO, on<>X, request<>BO, 
165;enter<>A, senddate<>BO, confirmation<>BO, request<>BO, 
166;create<>A, decision<>BO, terminate<>BO, on<>X, request<>BO, 
167;decision<>BO, terminate<>A, on<>X, request<>BO, 
168;stop<>A, process<>BO, after<>X, terminate<>BO, on<>X, request<>BO, 
169;detailed<>BO, procedure<>BO, applies<>A, 
170;decided<>A, on<>X, draft<>BO, decision<>BO, environmental<>BO, permit<>BO, 
171;term<>BO, perspective<>BO, on<>X, draft<>BO, decision<>BO, 
172;publish<>A, official<>BO, draft<>BO, decision<>BO, 
173;appeal<>BO, logded<>A, 
174;objection<>A, to<>X, extension<>BO, procedure<>BO, term<>BO, receptive<>BO, 
175;decision<>BO, extension<>BO, procedure<>BO, term<>BO, irrevocable<>BOSTATE, 
176;enter<>A, senddate<>BO, party<>BO, permitted<>BO, 
177;partly<>X, permit<>A, application<>BO, 
178;no<>X, permit<>BO, required<>A, for<>X, application<>BO, 
179;publication<>A, date<>BO, draft<>BO, decision<>BO, 
180;final<>BO, vvgb<>BO, applications<>BO, 
181;treat<>A, subcase<>BO, final<>BO, vvgb<>BO, 
182;subcase<>BO, final<>BO, vvgb<>BO, completed<>A, 
183;vvgb<>BO, positive<>X, 
184;contested<>BO, decision<>BO, affected<>X, 
185;enter<>A, senddate<>BO, letter<>BO, to<>X, competent<>REC, authority<>REC, 
186;enter<>A, senddate<>BO, letter<>BO, to<>X, stakeholders<>REC, 
187;forward<>A, transcript<>BO, to<>X, stakeholders<>REC, 
188;request<>A, to<>X, competent<>BO, authority<>BO, 
189;decision<>BO, permanently<>BO, suspended<>A, 
190;enter<>A, objection<>BO, term<>BO, permanent<>BO, suspension<>BO, 
191;perspective<>BO, from<>X, gs<>X, or<>X, vrom<>X, received<>A, 
192;hearing<>A, about<>BO, draft<>BO, 
193;perspective<>BO, regarding<>BO, draft<>BO, founded<>A, 
194;updated<>A, plan<>BO, after<>X, perspective<>BO, 
195;ground<>BO, for<>X, refusal<>BO, after<>X, reassessment<>BO, plan<>BO, 
196;phase<>BO, perspective<>BO, submitted<>A, 
197;subcases<>BO, reassessment<>BO, plan<>BO, completed<>A, 
198;treat<>A, subcases<>BO, reassessment<>BO, plan<>BO, 
199;subcase<>BO, perspective<>BO, complete<>A, 
200;treat<>A, appeal<>BO, subcase<>BO, 
201;request<>BO, for<>X, preliminary<>BO, injunction<>BO, received<>A, 
202;appealed<>A, to<>X, higher<>REC, court<>REC, 
203;appeal<>A, subcase<>BO, completed<>BO, 
204;treat<>A, subcase<>BO, waw<>BO, 
205;subcase<>BO, waw<>BO, completed<>A, 
206;waw<>BO, request<>BO, permanently<>BO, suspended<>A, 
207;enter<>A, senddate<>BO, suspension<>BO, by<>X, competent<>ACTOR, authority<>ACTOR, 
208;reason<>BO, for<>BO, suspension<>BO, found<>A, 
209;register<>A, suspension<>BO, by<>X, competent<>ACTOR, authority<>ACTOR, 
210;send<>A, suspension<>BO, by<>X, competent<>ACTOR, authority<>ACTOR, 
211;continuation<>BO, term<>BO, to<>X, decision<>BO, 
212;send<>A, continuation<>BO, letter<>BO, 
213;enter<>A, senddate<>BO, continuation<>BO, 
214;objection<>BO, to<>X, permanent<>BO, suspension<>BO, received<>A, 
215;decision<>BO, permanent<>BO, suspension<>BO, irrevocable<>BOSTATE, 
216;stop<>A, procedure<>BO, after<>BO, permanent<>BO, suspension<>BO, 
217;request<>A, further<>BO, information<>BO, 
218;dismiss<>A, under<>X, mandate<>BO, 
219;investigate<>A, bag<>BO, objects<>BO, 
220;continue<>A, or<>X, abort<>A, mutation<>BO, bag<>BO, objects<>BO, 
221;treat<>A, objection<>BO, subcase<>BO, 
222;objection<>BO, subcase<>BO, completed<>A, 
223;injunction<>BO, made<>A, ??by<>X, court<>ACTOR, 
224;new<>X, decision<>BO, or<>BO, reassessment<>A, 
225;enter<>A, senddate<>BO, decision<>BO, suspension<>BO, 
226;phase<>A, decision<>BO, suspended<>BO, 
227;article<>BO, 35<>BO, applies<>A, 
228;send<>A, decision<>BO, suspension<>BO, 
229;creating<>A, decision<>BO, suspension<>BO, art.<>BO, 33<>BO, wabo<>BO, 
230;treat<>A, subcase<>BO, suspension<>BO, art.<>BO, 33<>BO, wabo<>BO, 
231;subcase<>BO, art.<>BO, 33<>BO, wabo<>BO, completed<>A, 
232;refusal<>A, after<>X, suspension<>BO, 
233;cancel<>A, bag<>BO, objects<>BO, research<>BO, 
234;mutation<>BO, bag<>BO, carry<>BO, objects<>BO, 
235;environmental<>BO, permit<>BO, irrevocable<>BOSTATE, 
236;determine<>A, cause<>BO, for<>X, suspension<>BO, article<>BO, 34<>BO, wabo<>BO, 
237;request<>A, updated<>BO, plan<>BO, again<>X, 
238;set<>A, phase<>BO, decision<>BO, revoked<>A, 
239;set<>A, phase<>BO, 
240;treat<>A, subcase<>BO, perspective<>BO, 
241;phase<>BO, appeal<>BO, lodged<>BO, 
242;appeal<>BO, and<>X, preliminary<>BO, injunction<>BO, in<>X, system<>BO, 
243;send<>A, letter<>BO, receptive<>BO, test<>BO, not<>X, ok<>X, wait<>A, for<>X, report<>BO, firedepartement<>ACTOR, 
244;phase<>BO, objection<>BO, filed<>A, 
245;objections<>BO, and<>X, preliminary<>BO, injunction<>BO, in<>X, system<>X, 
246;article<>BO, 33<>BO, applies<>A, 
247;enter<>A, date<>BO, decision<>BO, suspension<>BO, 
248;creating<>A, decision<>BO, suspension<>BO, art.<>BO, 34<>BO, wabo<>BO, 
249;treat<>A, subcase<>BO, suspension<>BO, art.<>BO, 34<>X, wabo<>BO, 
250;subcase<>BO, art.<>BO, 34<>BO, wabo<>BO, completed<>A, 
251;calculate<>A, provisional<>BO, charges<>BO, 
252;treat<>A, subcases<>BO, present<>A, decision<>BO, 
253;subcases<>BO, completed<>A, present<>A, decision<>BO, 
254;phase<>BO, forwarded<>A, to<>X, competent<>REC, authority<>REC, 
255;create<>A, subcases<>BO, submit<>A, draft<>BO, decision<>BO, 
256;term<>BO, to<>X, perspective<>BO, 
257;enter<>A, enddate<>BO, of<>BO, suspension<>BO, 
258;phase<>BO, procedure<>BO, resumed<>A, 
259;reactive<>BO, designation<>BO, received<>A, 
260;subcase<>BO, designation<>BO, gs<>BO, completed<>A, 
261;treating<>A, subcase<>BO, designation<>BO, gs<>BO, 
262;treat<>A, subcases<>BO, submit<>A, draft<>BO, decision<>BO, 
263;subcases<>BO, submit<>A, draft<>BO, decision<>BO, completed<>A, 
264;enrich<>A, draft<>BO, decision<>BO, environmental<>BO, permit<>BO, 
265;create<>A, coordination<>BO, confirmation<>BO, 
266;start<>BO, date<>BO, suspension<>A, competent<>ACTOR, authority<>ACTOR, 
267;phase<>BO, procedure<>BO, term<>BO, suspended<>A, 
268;create<>A, suspension<>BO, competent<>ACTOR, authority<>ACTOR, 
269;date<>A, continuation<>BO, term<>BO, to<>X, decision<>BO, 
270;phase<>BO, procedure<>BO, term<>BO, resumed<>A, 
271;create<>A, continuation<>BO, letter<>BO, 
272;date<>A, environmental<>BO, permit<>BO, irrevocable<>BOSTATE, 
273;set<>A, decision<>BO, phase<>BO, suspension<>BO, decided<>A, 
274;set<>A, decision<>BO, phase<>BO, suspension<>BO, sent<>A, 
275;set<>A, decision<>BO, phase:<>BO, suspension<>BO, cancelled<>A, 
276;enter<>A, enddate<>BO, suspension<>BO, art.<>BO, 33<>BO, wabo<>BO, 
277;send<>A, send<>A, confirmation<>BO, competent<>REC, authority<>REC, 
278;create<>A, forwarding<>BO, copy<>BO, 
279;set<>A, decision<>BO, phase<>BO, unlicensed<>BO, irrevocable<>BOSTATE, 
280;creating<>A, cover<>BO, letter<>BO, no<>BO, permit<>BO, required<>BO, 
281;objection<>BO, decision<>BO, no<>BO, permit<>BO, required<>BO, received<>A, 
282;generating<>A, decision<>BO, no<>BO, permit<>BO, required<>BO, 
283;enter<>A, senddate<>BO, letter<>BO, BO<>BO, permit<>BO, required<>BO, 
284;set<>A, decision<>BO, phase<>BO, no<>BO, permit<>BO, required<>BO, decided<>A, 
285;set<>A, decision<>BO, phase<>BO, decision<>BO, no<>BO, permit<>BO, required<>BO, sent<>A, 
286;create<>A, decision<>BO, no<>BO, permit<>BO, required<>BO, 
287;phase<>BO, activity<>BO, no<>BO, permit<>BO, required<>BO, 
288;record<>A, date<>BO, of<>BO, decision<>BO, no<>BO, permit<>BO, required<>BO, 
